Power_values(W),Z_0.010W,OA_0.010W,CA_0.010W,Z_0.015W,OA_0.015W,CA_0.015W,Z_0.025W,OA_0.025W,CA_0.025W,Z_0.050W,OA_0.050W,CA_0.050W,Z_0.075W,OA_0.075W,CA_0.075W,Z_0.100W,OA_0.100W,CA_0.100W,Z_0.125W,OA_0.125W,CA_0.125W,Z_0.150W,OA_0.150W,CA_0.150W,Z_0.175W,OA_0.175W,CA_0.175W,Z_0.200W,OA_0.200W,CA_0.200W,Z_0.225W,OA_0.225W,CA_0.225W,Z_0.250W,OA_0.250W,CA_0.250W
,15.2,0.0048748,0.0022395,15.2,0.0072909,0.0032787,15.2,0.012177,0.0055758,15.2,0.024522,0.011201,15.2,0.037925,0.01573,15.2,0.049502,0.022845,15.2,0.062755,0.011463,15.2,0.075496,0.034984,15.2,0.087421,0.039877,15.2,0.098764,0.042384,15.2,0.11101,0.046957,15.2,0.12273,0.050319
,15.3,0.0048741,0.0022376,15.3,0.0072904,0.003274,15.3,0.012175,0.0055713,15.3,0.02452,0.01121,15.3,0.037927,0.015752,15.3,0.049505,0.022803,15.3,0.062756,0.011442,15.3,0.075494,0.034974,15.3,0.087423,0.039859,15.3,0.098774,0.042436,15.3,0.11102,0.0469,15.3,0.12274,0.05028
,15.4,0.0048741,0.0022315,15.4,0.0072893,0.0032739,15.4,0.012174,0.0055733,15.4,0.024517,0.011208,15.4,0.03793,0.01574,15.4,0.049507,0.022845,15.4,0.062757,0.01145,15.4,0.075499,0.034964,15.4,0.087425,0.039854,15.4,0.098781,0.042441,15.4,0.11103,0.046909,15.4,0.12276,0.050353
,15.5,0.0048737,0.0022357,15.5,0.0072889,0.0032742,15.5,0.012174,0.0055766,15.5,0.024515,0.011199,15.5,0.037932,0.015724,15.5,0.04951,0.022836,15.5,0.062754,0.011434,15.5,0.075502,0.034981,15.5,0.087426,0.039882,15.5,0.098789,0.042453,15.5,0.11104,0.046837,15.5,0.12276,0.050355
,15.6,0.0048736,0.0022328,15.6,0.0072884,0.003272,15.6,0.012172,0.0055758,15.6,0.024513,0.011205,15.6,0.037935,0.015742,15.6,0.049512,0.022858,15.6,0.062754,0.011456,15.6,0.075499,0.03495,15.6,0.087424,0.039878,15.6,0.098798,0.042468,15.6,0.11105,0.046914,15.6,0.12278,0.050389
,15.7,0.0048734,0.0022376,15.7,0.0072877,0.0032687,15.7,0.012171,0.0055795,15.7,0.024511,0.011198,15.7,0.037935,0.015759,15.7,0.049515,0.02285,15.7,0.062755,0.011435,15.7,0.075505,0.034938,15.7,0.087426,0.039819,15.7,0.098802,0.042487,15.7,0.11106,0.046876,15.7,0.12279,0.050325
,15.8,0.0048732,0.0022353,15.8,0.0072873,0.003275,15.8,0.01217,0.0055861,15.8,0.024509,0.01118,15.8,0.037937,0.015748,15.8,0.049517,0.022846,15.8,0.062753,0.011412,15.8,0.075502,0.034919,15.8,0.087423,0.039868,15.8,0.098809,0.042467,15.8,0.11106,0.046871,15.8,0.1228,0.050279
,15.9,0.0048729,0.002235,15.9,0.0072856,0.0032706,15.9,0.012169,0.0055711,15.9,0.024507,0.011177,15.9,0.037939,0.015741,15.9,0.04952,0.022809,15.9,0.062759,0.011417,15.9,0.075501,0.034934,15.9,0.087421,0.039846,15.9,0.098817,0.042473,15.9,0.11108,0.046858,15.9,0.12281,0.050315
,16,0.0048726,0.0022367,16,0.0072836,0.003266,16,0.012168,0.0055723,16,0.024504,0.011179,16,0.03794,0.01577,16,0.049522,0.022842,16,0.062759,0.01142,16,0.075507,0.034959,16,0.08742,0.039861,16,0.098821,0.042414,16,0.11108,0.04692,16,0.12282,0.050411
,16.1,0.0048719,0.0022343,16.1,0.0072827,0.0032647,16.1,0.012168,0.005571,16.1,0.024501,0.011172,16.1,0.037942,0.015766,16.1,0.049524,0.022824,16.1,0.062762,0.011386,16.1,0.075505,0.034925,16.1,0.087421,0.039801,16.1,0.098826,0.042411,16.1,0.11109,0.046842,16.1,0.12282,0.050345
,16.2,0.0048714,0.0022323,16.2,0.0072825,0.0032621,16.2,0.012167,0.0055693,16.2,0.0245,0.011171,16.2,0.037943,0.015766,16.2,0.049525,0.022826,16.2,0.062764,0.011416,16.2,0.075503,0.034907,16.2,0.087426,0.039844,16.2,0.098832,0.042389,16.2,0.1111,0.04686,16.2,0.12283,0.050319
,16.3,0.0048709,0.0022348,16.3,0.0072821,0.0032605,16.3,0.012165,0.0055639,16.3,0.024497,0.011167,16.3,0.037944,0.015752,16.3,0.049528,0.02281,16.3,0.062763,0.011448,16.3,0.075504,0.034876,16.3,0.087433,0.039838,16.3,0.098839,0.042393,16.3,0.1111,0.046802,16.3,0.12283,0.050362
,16.4,0.0048707,0.0022331,16.4,0.0072818,0.0032623,16.4,0.012163,0.0055733,16.4,0.024494,0.011173,16.4,0.037945,0.015757,16.4,0.049529,0.022848,16.4,0.062768,0.011417,16.4,0.075508,0.034848,16.4,0.087434,0.03983,16.4,0.098846,0.042392,16.4,0.11111,0.046829,16.4,0.12284,0.050316
,16.5,0.0048706,0.0022301,16.5,0.0072809,0.0032574,16.5,0.012162,0.0055751,16.5,0.024492,0.011167,16.5,0.037946,0.015756,16.5,0.049532,0.022852,16.5,0.062768,0.011419,16.5,0.075509,0.034854,16.5,0.087437,0.039792,16.5,0.098852,0.042392,16.5,0.11112,0.04685,16.5,0.12285,0.050317
,16.6,0.0048703,0.0022348,16.6,0.0072805,0.0032549,16.6,0.012161,0.0055686,16.6,0.024489,0.01116,16.6,0.037948,0.015749,16.6,0.049535,0.022853,16.6,0.062768,0.011412,16.6,0.075508,0.03484,16.6,0.087435,0.039775,16.6,0.098859,0.042395,16.6,0.11112,0.046822,16.6,0.12285,0.0502
,16.7,0.0048698,0.002229,16.7,0.0072797,0.0032605,16.7,0.01216,0.005562,16.7,0.024487,0.011141,16.7,0.03795,0.015749,16.7,0.049538,0.022832,16.7,0.062772,0.011404,16.7,0.075505,0.03486,16.7,0.087435,0.039783,16.7,0.098862,0.042382,16.7,0.11113,0.046843,16.7,0.12286,0.050242
,16.8,0.0048695,0.0022323,16.8,0.0072788,0.0032589,16.8,0.012159,0.0055686,16.8,0.024486,0.011144,16.8,0.037952,0.015729,16.8,0.04954,0.022789,16.8,0.062765,0.01137,16.8,0.075507,0.034877,16.8,0.087434,0.039795,16.8,0.098864,0.042409,16.8,0.11114,0.046775,16.8,0.12286,0.050255
,16.9,0.004869,0.0022271,16.9,0.0072784,0.0032547,16.9,0.012158,0.0055658,16.9,0.024486,0.011155,16.9,0.037954,0.015726,16.9,0.049541,0.022832,16.9,0.062763,0.011381,16.9,0.075509,0.03486,16.9,0.087441,0.03975,16.9,0.098871,0.042385,16.9,0.11115,0.04679,16.9,0.12287,0.050296
,17,0.0048685,0.0022285,17,0.0072776,0.0032605,17,0.012156,0.0055723,17,0.024484,0.011152,17,0.037957,0.015744,17,0.049543,0.022844,17,0.062765,0.011384,17,0.075507,0.034867,17,0.087436,0.039776,17,0.098876,0.042409,17,0.11115,0.046831,17,0.12287,0.050288
